Solubility,MolWt,MolLogP,MolMR,HeavyAtomCount,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,RingCount,TPSA
-2.603841144,622.548,-4.7392,143.5478,42,12,2,16,6,202,5,0,0,5,197.32
-0.0700526508,176.256,1.1989,48.2048,12,3,1,3,7,74,0,0,0,0,38.69
-4.170824759,222.288,2.243,60.637,16,4,0,4,3,88,0,1,1,1,58.86
-4.410087437,385.637,4.6019,118.0663,27,4,4,5,19,162,0,0,0,0,101.37
-1.521890085,469.929,4.2338,123.9294,33,7,0,10,8,172,3,0,0,3,115.11
-4.216916663,214.22,3.2644,59.536,16,3,0,3,2,80,2,0,0,2,35.53
-4.151910976,170.252,2.8895,49.595,12,2,0,2,6,70,0,0,0,0,26.3
-1.189236756,182.223,0.3285,50.7804,13,2,2,4,4,72,0,0,0,0,58.2
-2.965977173,108.184,2.6728,36.748,8,0,0,0,0,44,0,0,1,1,0
-3.256981001,205.286,0.5904,49.1935,13,5,0,6,7,76,0,0,0,0,57.12
-3.32858345,240.803,2.6637,60.776,14,3,0,5,9,86,0,0,0,0,27.69
-4.387683254,278.348,3.6004,76.823,20,4,0,4,8,110,1,0,0,1,52.6
-1.79226117,678.696,-0.38408,163.5468,46,10,2,14,6,228,4,0,1,5,172.6
-3.345107824,230.219,2.0344,61.3109,17,4,3,4,2,86,2,0,0,2,77.76
-4.425503245,266.381,4.1631,75.573,19,3,0,3,10,108,0,1,1,1,43.37
-4.425503245,266.381,3.7308,75.363,19,3,0,3,6,108,0,1,1,1,43.37
-5.345705158,2216.691,29.64,638.1372,156,27,9,30,120,912,0,0,0,0,395.25
-5.42454755,292.375,4.4309,81.6463,21,3,1,4,10,116,1,0,0,1,63.6
-5.676541809,474.834,5.2448,125.028,28,8,0,10,21,170,0,0,0,0,55.38
-5.49192521,248.322,3.2977,72.442,18,3,0,3,6,98,1,0,0,1,35.53
-5.593122622,313.482,4.6685,90.9575,22,2,2,4,16,130,0,0,0,0,66.4
-5.365156254,162.276,4.0092,55.122,12,0,0,0,0,66,0,0,1,1,0
-6.102526939,754.698,13.3887,214.936,45,4,0,7,18,264,0,0,0,0,6.48
-6.656649109,272.145,4.12018,69.224,16,1,0,2,2,78,2,0,0,2,23.79
-6.214524895,819.398,15.4204,250.6734,58,6,2,6,32,344,0,2,2,2,76.66
-5.731545253,269.473,4.9255,84.2387,19,1,1,2,12,114,0,0,0,0,29.1
-7.555881514,899.128,5.9116,234.4254,64,14,3,14,7,358,0,5,8,8,170.06
-6.183335848,230.31,5.0206,77.314,18,0,0,0,2,86,3,0,0,3,0
-6.178796616,202.256,4.584,70.146,16,0,0,0,0,74,4,0,0,4,0
-6.40319542,278.348,3.6004,76.823,20,4,0,4,8,110,1,0,0,1,52.6
-6.587338232,193.334,4.28678,59.82,14,1,0,1,4,80,0,1,1,1,23.79
-6.929013035,313.357,2.93,90.5164,23,5,0,6,4,120,2,1,1,3,58.85
-7.252394502,482.79,9.1868,143.934,34,4,0,4,25,202,0,0,0,0,52.6
-7.404250358,532.684,8.71322,161.1882,40,5,1,5,9,204,4,0,2,6,50.8
-2.155833357,186.113,1.8206,38.0325,13,3,0,5,1,68,1,0,1,2,35.53
-7.638280591,291.31,2.34768,83.0401,22,5,2,5,2,108,2,0,1,3,95.98
-8.25019206,889.533,18.1793,280.1687,63,4,4,6,49,374,0,0,0,0,112.65
-8.185258765,766,10.3771,223.3973,56,11,4,12,21,300,4,0,0,4,156.46
-4.400250091,82.94,-0.2401,1.373,3,2,0,3,0,17,0,0,0,0,34.14
-0.4539105371,283.887,1.899,78.481,19,0,0,2,11,110,1,0,0,1,3.88
-2.256644531,180.203,1.76684,49.0468,13,2,1,3,3,70,1,0,0,1,46.53
-1.825456143,665.226,6.0374,127.203,37,9,0,13,23,225,0,0,0,0,106.59
-0.8171647444,652.574,-5.2469,149.4706,44,13,3,17,7,214,5,0,0,5,217.55
-1.138382451,136.15,1.5948,38.1113,10,2,1,2,1,52,1,0,0,1,37.3
-1.988356233,96.381,-0.9992,12.881,4,0,0,4,0,16,0,0,0,0,57
-2.786820452,601.508,-0.9072,142.7257,42,12,3,15,6,200,5,0,0,5,213.25
-3.297212067,192.302,3.8243,62.243,14,1,0,1,5,78,0,0,0,0,17.07
-1.155886444,138.17,1.011,39.202,10,1,0,3,2,54,0,1,1,1,23.55
-2.205601857,154.125,0.8826,39.1736,11,4,2,5,1,58,1,0,0,1,89.39
-2.402069338,24.305,-0.3808,5.754,1,0,0,1,0,0,0,0,0,0,0
-1.768326879,56.077,-0.4996,6.4405,2,1,0,2,0,8,0,0,0,0,17.07
-3.274087547,179.135,0.7644,45.5738,13,3,2,6,1,66,2,0,0,2,91.79
-3.529299295,321.383,0.8504,79.5075,21,5,1,8,3,108,1,1,1,2,90.27
-1.17595802,140.138,0.9078,36.0208,10,3,1,3,1,54,1,0,0,1,50.44
-2.211401723,150.177,1.4021,42.162,11,2,0,2,2,58,1,0,0,1,26.3
-4.226296416,323.294,-1.8583,23.5452,7,2,2,7,0,44,0,0,0,0,106.1
-3.27068643,171.583,2.55662,42.8434,11,2,0,4,1,58,1,0,0,1,43.14
-1.910729926,74.092,-0.7344,9.6256,3,2,0,3,0,16,0,0,0,0,60
-3.055986963,464.138,-12.4408,47.688,23,16,0,23,0,128,0,0,0,0,345
-3.122388733,120.623,2.8055,34.862,7,0,0,1,4,44,0,0,0,0,0
-2.268475684,168.114,1.668,31.828,11,2,0,5,2,64,0,0,0,0,26.3
-2.642008137,394.992,-1.4038,29.9922,13,9,0,13,6,74,0,0,0,0,157.11
-2.153696327,128.215,2.5458,39.44,9,1,0,1,5,54,0,0,0,0,17.07
-2.404240574,228.288,2.6885,61.2776,16,2,2,4,9,92,0,0,0,0,74.6
-3.495359601,284.396,4.1048,79.6756,20,2,2,4,10,116,0,0,0,0,74.6
-3.526422567,302.458,4.1252,87.2638,22,2,1,2,0,122,0,3,4,4,37.3
-3.756179517,513.36,-0.2569,115.5854,31,8,2,14,7,160,2,0,1,3,140.12
-4.536378597,340.419,3.1846,96.9466,25,4,2,4,6,132,2,0,0,2,74.6
-8.744859544,1111.449,-2.668,18.7975,32,0,0,32,0,212,0,0,0,0,541.5
-4.493085819,304.386,2.7432,81.72,22,4,0,4,6,120,0,3,3,3,52.6
-4.578402879,367.43,4.1314,102.7759,26,3,3,7,5,132,3,0,0,3,87.3
-5.583643126,174.06,-6.3509,2.0595,6,0,0,6,0,24,0,0,0,0,85.5
-4.283204614,184.279,2.932,54.462,13,2,0,2,7,76,0,0,0,0,26.3
-4.928855971,772.498,12.4451,200.332,43,8,0,11,28,256,0,0,0,0,36.92
-3.338049828,194.274,2.3742,52.599,14,2,0,2,1,78,0,3,3,3,26.3
-0.8459165596,62.137,0.9361,19.527,3,1,1,1,0,20,0,0,0,0,0
-2.595175443,346.464,5.6406,91.478,24,6,0,6,12,142,0,0,0,0,71.06
-3.243750947,154.253,2.9579,48.51,11,1,0,1,5,64,0,0,0,0,17.07
-0.288092629,170.252,1.7149,46.9168,12,2,1,2,1,70,0,2,2,2,29.46
-3.302656786,176.259,2.9415,54.916,13,1,0,1,4,70,1,0,0,1,17.07
-2.197764187,137.02,2.1814,28.702,5,0,0,1,2,32,0,0,0,0,0
-3.60911048,351.419,-0.9892,85.6515,24,4,2,7,15,134,0,0,0,0,106.53
-3.384192904,208.301,3.0183,61.803,15,2,0,2,7,84,1,0,0,1,18.46
-3.339761604,186.295,2.9878,55.635,13,2,0,2,5,78,0,0,0,0,18.46
-3.296613578,168.28,3.1578,52.186,12,1,0,1,2,70,0,0,1,1,9.23
-3.235762244,1445.578,12.59564,375.0533,100,21,3,28,28,528,10,0,0,10,343.2
-3.364225398,192.001,2.9016,43.1164,11,2,0,5,1,58,1,0,0,1,43.14
-2.302767888,166.264,2.5071,52.7388,12,1,1,1,4,68,0,0,0,0,20.23
-3.477980722,248.351,1.3739,61.978,16,5,0,6,8,94,0,0,0,0,53.99
-3.680444963,392.879,4.3047,106.6344,27,4,3,6,4,146,2,1,1,3,90.29
-2.327317556,173.171,1.116,48.075,13,2,0,3,1,64,1,0,1,2,37.38
-2.365667988,188.23,2.10762,56.391,14,2,0,3,1,72,1,0,1,2,32.67
-2.267384667,149.942,-0.8211,41.6551,11,3,2,4,2,56,1,0,0,1,57.53
-2.337666283,176.259,2.9433,54.766,13,1,0,1,3,70,1,0,0,1,17.07
-2.250522404,144.214,2.1298,40.775,10,2,0,2,5,60,0,0,0,0,26.3
-2.160954298,116.469,2.2603,16.203,6,0,0,4,0,36,0,0,0,0,0
-1.459377408,230.392,3.9162,69.7488,16,2,1,2,13,98,0,0,0,0,29.46
-2.400775362,201.31,2.5406,58.2432,14,2,2,3,10,84,0,0,0,0,63.32
-2.800595088,505.458,3.3366,144.841,34,2,6,12,9,182,2,0,0,2,177.58
-3.176796415,120.195,2.5287,39.111,9,0,0,0,0,48,0,1,2,2,0
-3.525627796,268.36,4.1594,84.32,20,1,0,3,4,104,2,0,0,2,23.55
-3.383020526,193.246,2.2257,56.0449,14,3,1,3,4,76,1,0,0,1,52.32
-4.413922406,228.247,2.7492,63.6683,17,3,1,3,3,86,2,0,0,2,46.53
-4.596065772,347.175,6.6356,84.614,17,0,0,1,12,104,0,0,0,0,0
-3.994369951,86.373,-2.4278,17.602,5,2,0,3,0,28,0,0,0,0,46.12
-4.111293422,112.412,-0.0025,0,1,0,0,1,0,0,0,0,0,0,0
-4.672502907,390.464,5.5737,113.212,28,4,3,6,5,140,4,0,0,4,78.43
-4.45076092,234.336,3.606,62.542,16,4,0,4,5,98,0,0,0,0,36.92
-4.360607869,186.279,3.8378,57.007,13,1,0,1,2,64,2,0,0,2,0
-4.787470096,496.541,3.247,128.6407,35,8,3,10,9,182,3,0,1,4,145.02
-4.553119611,285.897,3.6108,56.228,15,3,0,7,0,78,1,0,1,2,43.37
-3.839084061,545.395,2.2958,113.4834,32,10,0,16,5,164,2,0,1,3,171.79
1.233668218,46.069,-0.0014,12.7598,3,1,1,1,0,20,0,0,0,0,20.23
-2.245531528,138.166,1.7038,39.546,10,2,0,2,2,54,1,0,0,1,18.46
-2.418090055,204.313,3.5784,62.971,15,1,0,1,4,82,1,1,1,2,9.23
-2.716017407,401.453,3.1751,94.954,25,4,0,5,10,151,0,0,0,0,80.26
-3.396366501,192.302,3.37,60.013,14,1,0,1,2,78,0,0,1,1,17.07
-3.557960056,278.26,0.7978,66.487,20,6,0,6,6,106,1,2,2,3,77.66
-3.301742894,154.253,3.102,48.58,11,1,0,1,7,64,0,0,0,0,17.07
-3.069321152,900.912,-2.1254,224.1188,62,20,6,24,18,312,6,0,0,6,286.8
-2.252203004,136.194,2.31746,42.3178,10,1,1,1,0,54,1,0,0,1,20.23
-2.043101387,84.04,1.5686,11.729,5,0,0,3,0,32,0,0,0,0,0
-1.469930479,224.256,1.0113,59.6511,16,4,2,4,5,88,1,0,0,1,66.76
-0.9832225904,73.12,0.719,20.95,4,2,0,2,0,22,0,0,0,0,12.36
-3.497557581,240.306,3.3792,75.086,18,1,0,3,2,92,2,0,0,2,23.55
-3.533758505,256.342,2.9874,68.088,18,4,0,4,0,104,0,1,1,1,52.6
-3.324378497,158.285,2.9753,49.6258,11,1,1,1,7,68,0,0,0,0,20.23
-0.4376623173,205.075,-1.7099,30.596,11,4,0,5,2,67,0,0,0,0,80.26
-2.409651238,192.214,1.6896,50.689,14,3,0,3,3,74,1,1,1,2,38.83
-2.286983634,144.258,2.5836,44.9868,10,1,1,1,4,62,0,0,0,0,20.23
-2.344979827,164.204,2.1398,46.529,12,2,0,2,3,64,1,0,0,1,26.3
-2.352215179,166.22,1.8856,46.415,12,2,0,2,1,66,0,1,1,1,26.3
-0.1376829835,101.193,1.3481,33.462,7,1,0,1,3,44,0,0,0,0,3.24
-3.718391335,381.693,5.942,123.4798,27,3,3,3,23,162,0,0,0,0,50.08
-0.9312189022,62.137,0.9792,19.439,3,1,0,1,0,20,0,0,0,0,0
0.747325108,129.185,-2.9584,29.0227,6,2,1,4,0,30,0,0,0,0,12.03
-3.435950486,196.464,3.229,45.8844,10,1,1,4,0,54,1,0,0,1,26.02
-3.506108364,230.909,3.5617,48.484,11,1,0,5,0,60,1,0,0,1,12.89
-3.417245584,188.182,2.2436,52.5721,14,2,2,3,1,70,2,0,0,2,57.53
-2.454265074,204.357,5.2235,73.013,15,0,0,0,2,84,0,0,1,1,0
-3.677346846,190.286,3.5025,59.627,14,1,0,1,4,76,1,0,0,1,17.07
-1.277021164,1357.501,-14.7678,254.1296,83,32,4,46,18,408,7,0,0,7,544.99
-2.436880918,196.065,2.6341,24.354,12,0,0,7,0,72,0,1,1,1,0
-3.922851514,596.117,9.6946,130.883,27,1,0,3,20,164,0,0,0,0,9.23
-3.006984006,72.151,2.1965,25.199,5,0,0,0,2,32,0,0,0,0,0
-2.364737497,164.204,2.4339,49.3668,12,2,1,2,2,64,1,0,0,1,29.46
-2.277035079,134.178,2.11594,41.3035,10,1,0,1,1,52,1,0,0,1,17.07
-0.5941393378,277.257,-0.5583,65.5192,18,3,2,7,2,104,1,1,1,2,132.03
-1.099315041,879.859,-1.5717,139.1865,31,5,0,11,2,146,2,0,2,4,93.4
-1.219958563,116.16,1.3496,31.541,8,2,0,2,3,48,0,0,0,0,26.3
-2.691927271,344.37,1.0114,80.332,22,6,4,10,3,118,2,0,0,2,160.78
-2.44968993,197.146,1.1215,46.7007,14,5,1,6,3,74,1,0,0,1,89.67
-2.469378031,206.289,2.4912,64.3067,15,2,1,3,4,82,1,0,0,1,32.34
-3.502355132,223.199,-0.4996,6.4405,2,1,0,2,0,10,0,0,0,0,17.07
-3.533884584,239.322,3.36174,77.2631,18,1,2,3,2,92,2,0,0,2,50.41
-7.09873715,376.581,6.2893,113.4758,27,3,1,3,8,154,1,0,0,1,46.53
-4.412762427,204.357,4.415,64.583,15,0,0,0,0,84,0,3,3,3,0
-4.489105335,242.274,2.7917,68.5353,18,3,1,3,4,92,2,0,0,2,46.53
-4.567302938,284.311,3.0889,78.044,21,4,0,4,5,108,2,0,0,2,52.6
-4.605114666,310.174,-6.7916,32.475,13,8,0,13,0,64,0,0,0,0,172.5
-4.446203904,212.333,3.5445,61.584,15,2,0,2,3,88,0,1,1,1,26.3
-4.420023997,197.281,3.92788,62.06,15,1,0,1,1,76,1,1,1,2,23.79
-4.620257788,296.153,4.3641,77.5265,19,2,2,5,4,98,2,0,0,2,49.33
-4.5898858,272.26,3.2882,73.6008,20,4,0,6,5,102,2,0,0,2,86.28
-4.469462233,206.329,4.106,65.2048,15,1,1,1,2,84,1,0,0,1,20.23
-4.49802684,220.356,4.6853,69.8038,16,1,1,1,8,90,1,0,0,1,20.23
-4.653605269,315.285,1.9546,82.5615,23,5,2,8,5,118,2,0,0,2,124.56
-4.678690034,334.032,2.3964,97.2237,22,0,1,2,17,136,0,0,0,0,4.44
1.332024844,322.375,2.0076,79.3604,18,0,0,2,12,112,0,0,0,0,0
-3.323633394,146.426,-0.3561,3.8716,3,2,0,3,0,16,0,0,0,0,60
-3.052101177,776.82,7.6724,195.508,56,8,0,12,4,296,4,4,8,12,87.04
-2.351909504,154.253,2.6714,49.5078,11,1,1,1,4,64,0,0,0,0,20.23
-1.314975067,138.166,1.7038,39.546,10,2,0,2,2,54,1,0,0,1,18.46
0.4442593444,240.241,-1.613,52.315,15,7,5,10,2,88,1,0,0,1,164.69
0.3709472853,282.206,-6.4972,42.3684,16,6,0,10,2,78,1,0,0,1,114.4
-2.778562332,398.477,4.5944,102.6435,26,7,0,8,21,158,0,0,0,0,72.45
-2.245085326,116.204,2.2131,36.018,8,1,0,1,5,50,0,0,0,0,9.23
-2.533704672,225.553,3.267,43.1084,14,2,0,7,1,76,1,0,0,1,43.14
-3.7709815,392.467,1.8957,99.9444,28,5,3,6,2,154,0,3,4,4,94.83
-3.459862901,190.286,3.5025,59.627,14,1,0,1,4,76,1,0,0,1,17.07
-2.371197393,154.253,2.2171,47.2778,11,1,1,1,1,64,0,0,1,1,20.23
-2.409128664,168.28,3.0599,54.1028,12,1,1,1,5,70,0,0,0,0,20.23
-2.762296476,378.333,0.3534,86.5095,27,9,0,9,9,144,1,3,3,4,116.49
-2.433237945,176.259,2.7531,53.825,13,1,0,1,1,70,1,1,1,2,9.23
-3.423291255,172.268,2.7659,49.939,12,2,0,2,6,72,0,0,0,0,26.3
-2.349605255,145.161,1.9404,43.4078,11,2,1,2,0,54,2,0,0,2,33.12
-1.161671108,940.256,-6.8477,195.4053,59,21,2,29,15,298,4,0,1,5,319.6
-2.185828855,99.404,-0.3561,3.8716,3,2,0,3,0,16,0,0,0,0,60
-2.41045076,166.22,2.484,48.78,12,2,0,2,4,66,1,0,0,1,18.46
-1.939465074,56.108,1.5824,20.488,4,0,0,0,0,24,0,0,0,0,0
0.6252744891,152.146,-2.9463,32.192,10,5,5,5,4,62,0,0,0,0,101.15
-2.025733236,68.119,1.7485,25.011,5,0,0,0,1,28,0,0,0,0,0
-3.836075758,438.789,5.9217,140.9665,31,4,4,4,27,186,0,0,0,0,62.11
-3.393259787,158.285,2.8312,49.5558,11,1,1,1,6,68,0,0,0,0,20.23
-2.10218738,808.781,-2.16016,179.0458,53,18,2,23,12,272,4,0,0,4,282.44
-1.28038684,120.151,1.8892,36.4465,9,1,0,1,1,46,1,0,0,1,17.07
-3.431863898,170.296,3.2839,54.1968,12,1,1,1,6,72,0,0,0,0,20.23
-2.361047779,144.214,2.1298,40.775,10,2,0,2,5,60,0,0,0,0,26.3
-1.424573276,166.132,1.083,40.3606,12,2,2,4,2,62,1,0,0,1,74.6
-2.419967647,164.248,2.2576,46.599,12,1,0,1,1,66,0,3,3,3,17.07
-2.497713585,196.29,3.9508,59.8776,14,2,2,2,2,80,1,0,0,1,40.46
-1.292396158,122.167,2.00904,37.5808,9,1,1,1,0,48,1,0,0,1,20.23
-0.4755079565,186.207,-0.0025,0,1,0,0,1,0,7,0,0,0,0,0
-2.340367591,136.194,2.13,41.6928,10,1,1,1,2,54,1,0,0,1,20.23
-2.482107917,188.148,2.908,41.4485,13,1,0,4,1,70,1,0,0,1,17.07
-2.417174258,162.019,2.5756,40.8744,9,1,1,3,0,48,1,0,0,1,26.02
-3.496323842,196.29,2.7643,54.783,14,2,0,2,1,80,0,2,2,2,26.3
-3.758489195,358.401,-0.2171,81.9758,23,7,4,11,6,124,2,0,0,2,153.61
-3.468385388,182.59,-3.2054,13.3605,6,4,0,6,0,32,0,0,0,0,86.25
-3.34190657,136.238,3.475,48.002,10,0,0,0,5,56,0,0,0,0,0
0.8466851642,88.106,-0.4728,23.3116,6,2,2,2,2,36,0,0,0,0,40.46
-0.6030114261,246.303,1.1754,63.904,17,5,0,5,11,100,0,0,0,0,53.99
-2.648977722,272.282,-0.8694,62.3622,18,6,2,8,3,98,0,1,2,2,109.93
-3.445216137,172.268,3.2117,50.2458,12,1,1,2,8,72,0,0,0,0,37.3
-2.977604072,58.124,1.6623,20.512,4,0,0,0,0,26,0,0,0,0,0
-2.977604072,58.124,1.8064,20.582,4,0,0,0,1,26,0,0,0,0,0
